epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13797.4,1.67917,0.91545,1.7377,0.82067,0.73121,0.81206,0.46171,1.65004,0.82861,1.67263,0.000235404,0.000235404,0.000235404
43,14121.7,1.66283,0.88434,1.73013,0.83542,0.71397,0.80988,0.45394,1.68292,0.83382,1.68195,0.000214046,0.000214046,0.000214046
44,14445.1,1.67037,0.88652,1.7372,0.82484,0.73597,0.81893,0.46077,1.66036,0.81929,1.6748,0.000193486,0.000193486,0.000193486
45,14769,1.67033,0.88463,1.72354,0.82051,0.73041,0.81678,0.45685,1.67404,0.8335,1.67734,0.00017378,0.00017378,0.00017378
46,15092.7,1.64794,0.88025,1.72111,0.83794,0.71561,0.81091,0.46011,1.64807,0.81914,1.67007,0.000154982,0.000154982,0.000154982
47,15417,1.65195,0.87227,1.72514,0.83173,0.71355,0.81185,0.45413,1.6725,0.82893,1.67628,0.000137143,0.000137143,0.000137143
48,15741.8,1.63511,0.849,1.70921,0.83043,0.7372,0.81784,0.45881,1.67179,0.81811,1.67904,0.000120313,0.000120313,0.000120313
49,16065.2,1.64455,0.86038,1.72245,0.82929,0.72548,0.81577,0.46306,1.66057,0.81652,1.67668,0.000104537,0.000104537,0.000104537
50,16387.4,1.65652,0.86064,1.72876,0.843,0.71499,0.81793,0.46535,1.64204,0.80544,1.66912,8.98581e-05,8.98581e-05,8.98581e-05
51,16725,1.63245,0.84537,1.72178,0.8534,0.72544,0.82217,0.46277,1.67012,0.79959,1.6772,7.63174e-05,7.63174e-05,7.63174e-05
52,17048.8,1.61596,0.81053,1.71499,0.83446,0.73658,0.82145,0.46412,1.67165,0.80027,1.68164,6.39518e-05,6.39518e-05,6.39518e-05
53,17372.4,1.62774,0.8362,1.72256,0.84179,0.73523,0.82705,0.467,1.67279,0.80148,1.68514,5.2795e-05,5.2795e-05,5.2795e-05
54,17696.3,1.61991,0.82465,1.71785,0.85487,0.73165,0.82656,0.46513,1.67656,0.80122,1.6834,4.28777e-05,4.28777e-05,4.28777e-05
55,18020.7,1.63002,0.82758,1.72255,0.83504,0.74009,0.8228,0.46611,1.66324,0.79979,1.6772,3.4227e-05,3.4227e-05,3.4227e-05
56,18344,1.6224,0.82441,1.70944,0.85537,0.72968,0.82394,0.46971,1.64743,0.79261,1.67228,2.68667e-05,2.68667e-05,2.68667e-05
57,18668.1,1.60606,0.81792,1.70658,0.85151,0.72522,0.82068,0.46655,1.65394,0.79737,1.67459,2.08169e-05,2.08169e-05,2.08169e-05
58,18991.8,1.60458,0.82135,1.70673,0.84945,0.72671,0.82192,0.46463,1.66124,0.79547,1.67741,1.60943e-05,1.60943e-05,1.60943e-05
59,19315.3,1.61561,0.826,1.72186,0.84569,0.72548,0.82365,0.46643,1.663,0.79685,1.67875,1.27117e-05,1.27117e-05,1.27117e-05
60,19639.7,1.61235,0.81495,1.70899,0.85729,0.72264,0.82463,0.46706,1.66208,0.79418,1.67906,1.06784e-05,1.06784e-05,1.06784e-05
