epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1128.93,1.52404,0.63287,1.50207,0.95141,0.83201,0.90854,0.55955,1.70268,0.94268,1.47307,0.000643101,0.000643101,0.000643101
43,1152.64,1.55087,0.64409,1.50814,0.9311,0.84223,0.90144,0.5545,1.74711,0.96624,1.48446,0.000628101,0.000628101,0.000628101
44,1179.69,1.46703,0.62227,1.49225,0.94756,0.87819,0.91497,0.55323,1.73788,0.92302,1.48608,0.000612981,0.000612981,0.000612981
45,1203.77,1.47952,0.60985,1.5064,0.9467,0.85552,0.92114,0.55573,1.72411,0.83757,1.48289,0.000597754,0.000597754,0.000597754
46,1227.06,1.44512,0.61323,1.47391,0.93712,0.84442,0.91099,0.53565,1.79678,0.89546,1.48898,0.000582435,0.000582435,0.000582435
47,1250.08,1.46425,0.61192,1.49816,0.89658,0.83498,0.88691,0.52871,1.84408,0.99343,1.5072,0.00056704,0.00056704,0.00056704
48,1273.5,1.4923,0.61088,1.48386,0.94407,0.87819,0.9253,0.57167,1.77544,0.81577,1.47354,0.000551584,0.000551584,0.000551584
49,1296.91,1.46002,0.61385,1.47625,0.88454,0.86402,0.90804,0.55542,1.75468,0.89246,1.48234,0.000536081,0.000536081,0.000536081
50,1319.87,1.45665,0.6124,1.49077,0.92435,0.87819,0.92587,0.57249,1.69794,0.86273,1.47491,0.000520548,0.000520548,0.000520548
51,1343.17,1.45892,0.62549,1.47737,0.90153,0.85585,0.91039,0.52609,1.78296,0.99391,1.48831,0.000505,0.000505,0.000505
52,1366.27,1.44092,0.59926,1.47564,0.92719,0.86119,0.91143,0.5618,1.68869,0.89587,1.47259,0.000489452,0.000489452,0.000489452
53,1389.4,1.45147,0.60302,1.4734,0.93007,0.86657,0.9226,0.56343,1.68306,0.8055,1.46614,0.000473919,0.000473919,0.000473919
54,1412.31,1.46068,0.59629,1.47384,0.95792,0.86402,0.92388,0.57825,1.6982,0.80652,1.46928,0.000458416,0.000458416,0.000458416
55,1435.92,1.40183,0.58582,1.46819,0.94514,0.88669,0.92136,0.56268,1.72294,0.81811,1.47276,0.00044296,0.00044296,0.00044296
56,1460.03,1.41571,0.59061,1.45918,0.93364,0.87819,0.92468,0.56548,1.80917,0.85042,1.47706,0.000427565,0.000427565,0.000427565
57,1484.01,1.41921,0.58819,1.48369,0.94841,0.86402,0.92588,0.55719,1.75621,0.8992,1.47584,0.000412246,0.000412246,0.000412246
58,1507.43,1.41096,0.58506,1.47696,0.93332,0.86402,0.92463,0.54045,1.78679,0.95687,1.4868,0.000397019,0.000397019,0.000397019
59,1530.69,1.40188,0.60311,1.4701,0.9434,0.89721,0.93447,0.57836,1.67991,0.79701,1.4688,0.000381899,0.000381899,0.000381899
60,1554.94,1.39401,0.58214,1.45634,0.95223,0.87819,0.93401,0.55428,1.7753,0.78513,1.47614,0.000366899,0.000366899,0.000366899
61,1578.55,1.36375,0.57166,1.45202,0.93285,0.86402,0.91825,0.55394,1.74067,0.87007,1.47778,0.000352037,0.000352037,0.000352037
62,1602.26,1.37647,0.57898,1.45591,0.93902,0.86119,0.92086,0.58123,1.69348,0.86087,1.46828,0.000337325,0.000337325,0.000337325
63,1625.32,1.39708,0.57747,1.45941,0.94054,0.87535,0.92859,0.56482,1.74515,0.85065,1.47003,0.000322778,0.000322778,0.000322778
64,1648.37,1.40603,0.57837,1.45953,0.92223,0.87347,0.92298,0.56035,1.71177,0.88884,1.46984,0.000308412,0.000308412,0.000308412
65,1671.51,1.41523,0.58726,1.4679,0.90718,0.86402,0.91771,0.57093,1.64665,0.85395,1.46314,0.000294239,0.000294239,0.000294239
66,1694.77,1.38153,0.572,1.47171,0.93042,0.89235,0.93109,0.58377,1.66632,0.78143,1.46256,0.000280275,0.000280275,0.000280275
